"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Class","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"may-g1",7,7,0,15.78748007,236.0233226,2.37295492,"Before","Schreck",41.16949104,1.614575498,23,0.05969026,21,0.012566371,-1.900790136,2.955006041,1.74580403
"may-g1",7,7,0,12.03387661,236.0233226,2.37295492,"Before","Schreck",31.02402041,1.491698077,10,0.043982297,21,0,-1000,2.977808643,1.822525852
"may-g1",7,7,0,8.261439964,236.0233226,2.37295492,"Before","Schreck",37.90292169,1.578672688,20,0,19,0.009424778,-2.025728873,2.27843111,2.912236965
"may-g1",7,7,0,13.0054193,236.0233226,2.37295492,"Before","Schreck",39.30808246,1.594481858,22,0,14,0.012566371,-1.900790136,2.231705485,3.060989423
"may-g1",7,7,0,13.33173119,236.0233226,2.37295492,"Before","Schreck",49.23772511,1.692297979,32,0,25,0.012566371,-1.900790136,2.910648356,1.753539986
"may-g1",7,7,0,13.60180326,236.0233226,2.37295492,"Before","Schreck",31.75693304,1.501838553,11,0.138230077,20,0.018849556,-1.724698877,2.226335361,2.674018417
"may-g1",7,7,0,17.29024179,236.0233226,2.37295492,"Before","Schreck",49.29574174,1.692809406,33,0.065973446,12,0,-1000,2.763059165,1.821847002
"may-g1",7,7,0,17.33193144,236.0233226,2.37295492,"Before","Schreck",22.5391423,1.352937385,3,0.185353967,12,0,-1000,2.251463217,2.468554528
"may-g1",7,7,0,5.313517651,236.0233226,2.37295492,"Before","Schreck",30.0944358,1.478486206,9,0,28,0,-1000,1.995227822,2.946731752
"may-g1",7,7,0,14.48438192,236.0233226,2.37295492,"Before","Schreck",49.45140665,1.69417865,34,0.037699112,18,0.009424778,-2.025728873,3.118694066,1.558686397
"may-g1",7,7,0,25.32032884,236.0233226,2.37295492,"Before","Schreck",32.53439558,1.512342743,13,0.037699112,26,0.012566371,-1.900790136,2.527178466,2.668822606
"may-g1",7,7,0,12.94572891,236.0233226,2.37295492,"Before","Schreck",30.00131868,1.477140344,8,0,22,0.009424778,-2.025728873,1.718105179,1.851663343
"may-g1",7,7,0,7.191808274,236.0233226,2.37295492,"Before","Schreck",48.98141427,1.690031321,31,0.037699112,23,0.021991149,-1.657752087,3.138148819,0.113286265
"may-g1",7,7,0,37.89642983,236.0233226,2.37295492,"Before","Schreck",42.00866643,1.623338895,24,0.09424778,14,0.009424778,-2.025728873,2.337298306,3.1044239
"may-g1",7,7,0,5.478393024,236.0233226,2.37295492,"Before","Schreck",45.86082674,1.66144188,28,0.069115038,15,0.298451302,-0.525126522,2.774100559,0.608820744
"may-g1",7,7,0,0.99522494,236.0233226,2.37295492,"Before","Schreck",45.60551064,1.659017323,27,0,32,0.006283185,-2.201820132,2.635577396,2.415436797
"may-g1",7,7,0,21.35815567,236.0233226,2.37295492,"Before","Schreck",33.16477099,1.520677003,14,0.109955743,18,0.031415927,-1.502850127,2.417553876,2.086483733
"may-g1",8,8,1,279.4565484,100.5162809,2.002236411,"Before","Schreck",3.893432156,0.590332611,1,2.076592744,1,0.012566371,-1.900790136,1.146646207,0.284406864
"may-g1",8,8,0,14.26891894,100.5162809,2.002236411,"Before","Schreck",25.59911222,1.408224904,20,0,24,0,-1000,0.95641485,0.331050628
"may-g1",8,8,0,7.564820619,100.5162809,2.002236411,"Before","Schreck",42.44749792,1.627852096,32,0.025132741,28,0.006283185,-2.201820132,1.820248957,1.918450224
"may-g1",8,8,0,28.46976915,100.5162809,2.002236411,"Before","Schreck",41.30264569,1.615977872,31,0.050265482,15,0.025132741,-1.59976014,0.131423458,3.601175499
"may-g1",8,8,0,61.98687826,100.5162809,2.002236411,"Before","Schreck",29.34979551,1.46760508,24,0.131946891,13,0.009424778,-2.025728873,0.497567996,0.095818955
"may-g1",8,8,0,10.49515152,100.5162809,2.002236411,"Before","Schreck",11.38996519,1.056522397,3,0,31,0,-1000,1.566805581,0.05762839
"may-g1",8,8,0,19.85508603,100.5162809,2.002236411,"Before","Schreck",11.46536824,1.059388008,4,0.474380491,4,0.040840704,-1.388906775,2.18909099,0.291002268
"may-g1",8,8,0,9.562240854,100.5162809,2.002236411,"Before","Schreck",27.32520828,1.436563481,21,0.018849556,23,0.009424778,-2.025728873,1.227384721,0.162612006
"may-g1",8,8,0,20.65824466,100.5162809,2.002236411,"Before","Schreck",31.21276239,1.494332206,26,0.043982297,19,0.037699112,-1.423668881,3.132222685,3.068071717
"may-g1",8,8,0,47.18442891,100.5162809,2.002236411,"Before","Schreck",20.01539293,1.30136412,11,0.147654855,13,0.040840704,-1.388906775,0.980622092,0.241875069
